frame,timestamp_ms,rep_id,left_elbow,right_elbow,left_knee,right_knee,left_hip,right_hip,left_ankle,right_ankle,nose_speed,left_eye_inner_speed,left_eye_speed,left_eye_outer_speed,right_eye_inner_speed,right_eye_speed,right_eye_outer_speed,left_ear_speed,right_ear_speed,mouth_left_speed,mouth_right_speed,left_shoulder_speed,right_shoulder_speed,left_elbow_speed,right_elbow_speed,left_wrist_speed,right_wrist_speed,left_pinky_speed,right_pinky_speed,left_index_speed,right_index_speed,left_thumb_speed,right_thumb_speed,left_hip_speed,right_hip_speed,left_knee_speed,right_knee_speed,left_ankle_speed,right_ankle_speed,left_heel_speed,right_heel_speed,left_foot_index_speed,right_foot_index_speed,nose_acceleration,left_eye_inner_acceleration,left_eye_acceleration,left_eye_outer_acceleration,right_eye_inner_acceleration,right_eye_acceleration,right_eye_outer_acceleration,left_ear_acceleration,right_ear_acceleration,mouth_left_acceleration,mouth_right_acceleration,left_shoulder_acceleration,right_shoulder_acceleration,left_elbow_acceleration,right_elbow_acceleration,left_wrist_acceleration,right_wrist_acceleration,left_pinky_acceleration,right_pinky_acceleration,left_index_acceleration,right_index_acceleration,left_thumb_acceleration,right_thumb_acceleration,left_hip_acceleration,right_hip_acceleration,left_knee_acceleration,right_knee_acceleration,left_ankle_acceleration,right_ankle_acceleration,left_heel_acceleration,right_heel_acceleration,left_foot_index_acceleration,right_foot_index_acceleration,left_elbow_angular_speed,right_elbow_angular_speed,left_knee_angular_speed,right_knee_angular_speed,left_hip_angular_speed,right_hip_angular_speed,left_ankle_angular_speed,right_ankle_angular_speed,nose_signed_speed_y,left_eye_inner_signed_speed_y,left_eye_signed_speed_y,left_eye_outer_signed_speed_y,right_eye_inner_signed_speed_y,right_eye_signed_speed_y,right_eye_outer_signed_speed_y,left_ear_signed_speed_y,right_ear_signed_speed_y,mouth_left_signed_speed_y,mouth_right_signed_speed_y,left_shoulder_signed_speed_y,right_shoulder_signed_speed_y,left_elbow_signed_speed_y,right_elbow_signed_speed_y,left_wrist_signed_speed_y,right_wrist_signed_speed_y,left_pinky_signed_speed_y,right_pinky_signed_speed_y,left_index_signed_speed_y,right_index_signed_speed_y,left_thumb_signed_speed_y,right_thumb_signed_speed_y,left_hip_signed_speed_y,right_hip_signed_speed_y,left_knee_signed_speed_y,right_knee_signed_speed_y,left_ankle_signed_speed_y,right_ankle_signed_speed_y,left_heel_signed_speed_y,right_heel_signed_speed_y,left_foot_index_signed_speed_y,right_foot_index_signed_speed_y,shoulder_position_symmetry,elbow_angle_symmetry,knee_angle_symmetry,hip_angle_symmetry,ankle_angle_symmetry,rep_start_frame,rep_end_frame,max_depth_frame,max_depth_value,avg_speed_left_elbow,avg_speed_right_elbow,rep_duration_ms,rest_duration_before_ms
0,0,,161.95532046621926,,163.91579533788678,,142.172661661555,,81.46505870400165,,0.11389898574259949,0.1180548171116234,0.11234659388462812,0.10635206819508383,0.12023671262538668,0.11988973185403276,0.15185721623116086,0.1043382034763211,0.07657583537669178,0.08876678361735665,0.08454681861855115,0.1396856208572872,0.12857176323379563,0.08542015981045388,,0.10026023297297945,,0.13348441323054355,0.14106132740032687,0.12199733972238024,0.10148708118619823,0.09520623684207377,,0.05489243721650684,0.06391060540607817,0.13438876027340024,,0.2060092837902666,,0.22152792481358868,,0.1770768821856987,0.0963860082435638,1.5246944214169622,1.6007498092140529,1.527910556846082,1.4531823712318892,1.6176861345776006,1.6137916643279726,2.035515467974277,1.407318329064718,1.0146786714059295,1.1828384630968072,1.0946921680198403,1.9454028073804572,1.842256406754731,1.2283143217427492,,1.5655843442440651,,1.97212251518601,1.9261483784428335,1.7965171321326046,1.4823695367196301,1.464598391372072,,0.767836049043771,0.9054833625114006,1.8758484225863103,,2.9890234936233413,,3.214779602014011,,2.6441320772229786,1.4065500542577078,-2.5497419213956727,,0.6759617199057202,,14.029172005622009,,-13.199740167197426,,0.061270619538121615,0.06787323074752322,0.06228183080300793,0.05617187062113795,0.07569702114703108,0.07564758860376192,0.10302433149537699,0.05596364054787294,0.05436304603903121,0.04077860319399196,0.04776723538772605,-0.03971865456249683,0.002389754138009563,-0.014943784332519392,,0.016251756469821924,,0.00921419334972325,0.08348308301112022,0.008463236018676623,0.051560541935786804,0.014148222887545142,,0.024022951731593172,0.03524345720673673,0.014333070006661454,,-0.010205122943406801,,-0.02615404597813253,,0.0019758927816272654,0.0010320574553352396,0.5743469349328775,,,,,,,,,,,,
1,33,,161.8711789828132,,163.93810207464367,,142.63562433774052,,81.02946727848413,,0.1253509025782896,0.12711974198208376,0.12173196066929376,0.1161004485945892,0.12758017307396347,0.12711108884954303,0.1580030809784402,0.11540934951748953,0.08006662825598414,0.10074692927303519,0.09404226314753371,0.15009524803152313,0.1299778430380914,0.10037099409085769,,0.1232394496557141,,0.15132234713365503,0.14183297590789007,0.13963555822876597,0.10314738538954346,0.11828663506409692,,0.0572850544825651,0.06536955598781316,0.1337334070673188,,0.20430208649796183,,0.22016518111683556,,0.18247207509865448,0.10012215363024013,0.8338808778846662,0.6940197367992145,0.7266658962443242,0.7656214709370603,0.5284080337791525,0.5196595817084437,0.43029955898641786,0.785411164688121,0.10309226378421071,0.8711809848037759,0.5921536159494468,0.8816064021233929,0.3134336430722976,1.2972947007349411,,2.2312867465786415,,1.673533646291092,0.17861461730552353,1.604733135796297,0.3474371227261387,2.1944114934639978,,0.25831378810812833,0.2141136648905292,0.16891344607254874,,0.40843926498179944,,0.4747221345059045,,1.0188218097454254,0.5052178563040522,-5.58495513094344,,0.2308725765512022,,22.50299290836789,,-19.83991658890888,,0.10251002477803998,0.11103160946141785,0.10233995413144736,0.09289551687025728,0.12285306461921759,0.12268473744332442,0.16545417902401705,0.09438657729849706,0.08755994578987539,0.0680643049468109,0.07842810198749496,-0.0655704199594877,-0.0006614536845001858,-0.022132153585956705,,0.02912788654524883,,0.01704672364231646,0.12998106292866518,0.015461595960771755,0.08929997664506172,0.025146159512616378,,0.040478477080806194,0.058060314982438625,0.02419331095489378,,-0.01766872681623613,,-0.04094427688758087,,0.003688258880512994,0.0017490932668289877,0.5695177312088108,,,,,,,,,,,,
2,66,,161.68687546349207,,163.94572086966986,,143.37822310371666,,80.37475003105014,,0.1441114475408931,0.14137130130805486,0.1366694890711518,0.13179827441592137,0.13878211213402541,0.13809566758472758,0.16632593599225787,0.13400027988385366,0.08619703138976968,0.12112512051796538,0.11033284871742977,0.16599121186724958,0.1294866691794315,0.12535632987264322,,0.16117144380978038,,0.17994917396640592,0.1396567914765166,0.1684572789745179,0.10329905158677516,0.1567669730809779,,0.060108880748407645,0.06619428010950278,0.128544889042837,,0.19451854354832804,,0.21048627707997847,,0.18546221561914,0.10396315569298237,0.8933698104686261,0.5416631083033273,0.6125430519185043,0.6892957879290748,0.2936770280272516,0.2782424918625862,-0.022255313698123468,0.8251132330960259,-0.17007954075723541,1.0813484473236379,0.7610913119508222,0.5852548719898593,-0.5492856851843927,1.509439624513811,,2.526446779349538,,1.6162308701950863,-0.5742725853478737,1.62892527883304,-0.3316686421123382,2.561733397660503,,0.051884361021158634,-0.12502649371224703,-0.6819010622015995,,-1.1613771318990318,,-1.1905598822540324,,-0.04825637652244209,0.002575242884833736,-8.375571272250179,,-1.2602851268426587,,22.931561590973065,,-17.36923799728211,,0.11314284916509026,0.11861501012041106,0.11027967830012918,0.10130755209159448,0.1290573864859113,0.12855059494348842,0.17063992288217775,0.10616578084606874,0.09104963167943741,0.07539164196237033,0.08421457003015945,-0.0691122151829828,-0.009845210380975867,-0.018337601051116363,,0.03537616208674798,,0.02141993926258892,0.12927299664339253,0.019339667832002687,0.10252534886183194,0.02999617113514799,,0.04555463308780434,0.061164540308298904,0.0275771874719767,,-0.020376405722790383,,-0.040607999033665944,,0.004739565291847981,0.0018931974483039822,0.5613188714910504,,,,,,,,,,,,
3,100,,161.40210604023557,,163.9028711753572,,144.15789619780975,,79.78419593914255,,0.16406970564473916,0.15564775426506194,0.15195953637087262,0.14818834535349168,0.14947921988392338,0.14853271553160918,0.17231143343737604,0.1549095076783436,0.09440149002370346,0.14424337228409806,0.1292267670756469,0.1808947826757277,0.12456579070708566,0.15253782372534844,,0.2011369522326215,,0.20895139981221103,0.131094360549515,0.19877284721193872,0.09899019822110067,0.19810293704998982,,0.060992017632139385,0.06411999594227112,0.11541640217158855,,0.1715180392543914,,0.1866985197588823,,0.17709627214154428,0.10377636219581785,0.7642866320462582,0.31933485999639755,0.3884180641646498,0.4601907306668049,0.12981663318389397,0.11518838416102462,-0.24187201382681497,0.7761952033025429,0.09710392314825596,1.004062653693541,0.8459612019105012,0.21097707041256994,-1.2423447922034891,1.1255976941494954,,1.6137747148208839,,0.9012850897258033,-1.122923193202017,1.0290996079344095,-0.937611588273444,1.7330272025795657,,-0.19097091856895101,-0.431340440712989,-1.396420567072604,,-2.632027032536606,,-2.763752895918695,,-1.4397821176896768,-0.5579144539223886,-10.599159803186438,,-3.038403390085229,,19.336688694259216,,-9.862497494866618,,0.10989439252166427,0.1115131708045447,0.10510902762905446,0.0983118472688316,0.1177364426713066,0.11642867837158624,0.15147063717557022,0.10666605364312129,0.08234182272674624,0.07462799073065964,0.07950902102215657,-0.059904482636204924,-0.022416127591906587,-0.008657710554740764,,0.03793360492415463,,0.023460600023568267,0.11409046126578921,0.021442845226968685,0.10154670292618308,0.031136003715017138,,0.0458925458487385,0.05290675095322287,0.02884661665322163,,-0.020311461259160626,,-0.03434614775349622,,0.005317600220771707,0.0016079827061549368,0.5518191826117553,,,,,,,,,,,,
4,133,,161.0523337667304,,163.8026038634844,,144.7960069247203,,79.45873352181195,,0.17955447114110526,0.16606836218928078,0.163532445419057,0.16099063532189306,0.1568107962450301,0.15562916566852047,0.17383313334131725,0.17323060132632417,0.10470481708922919,0.16422907971954065,0.14633540374793713,0.19013671334308652,0.11666169277765692,0.17399051664254062,,0.23025378517835687,,0.22911657822414197,0.11645282086726777,0.22170251846731753,0.09044769205967484,0.22947327063343168,,0.05871036587340775,0.05850251724291364,0.09535901609499366,,0.13817368320653678,,0.15147438317434325,,0.1545146669056932,0.0980468788369806,0.2723992286431286,0.05049365270013546,0.0883221213823504,0.1268262469081176,0.01063090183444267,0.005652252428448444,-0.2247272295780917,0.48166152047313787,0.6818402529875212,0.4859318238363687,0.5307384053466353,-0.09713683151337854,-0.7913891672744838,0.2641359609992603,,0.00242761277042376,,-0.08147589773557364,-1.01323806294325,0.11519592053409566,-0.809625370989003,0.15174631160479052,,-0.3238943318223363,-0.46616606589969223,-1.4212859989662874,,-2.752415408856509,,-2.869910053502952,,-2.158742199347597,-0.7332177806038246,-10.878502732391793,,-4.308866296095416,,12.856472630014167,,-0.2562471678044865,,0.09364461480621819,0.09335512326276567,0.08955176282315565,0.0856100969787334,0.09428193287539217,0.09173275033580283,0.11692551668857917,0.09512064725819558,0.06571009228023897,0.06618797283457253,0.06652901271589098,-0.04083082089124903,-0.032577328949906,0.002320218685241732,,0.03502608546129994,,0.02167788715196241,0.09455350720712705,0.02029562317391665,0.08426477777254558,0.027314430696690938,,0.04102309516324795,0.035145266574673845,0.02767291814980413,,-0.016797412845474348,,-0.02506631071014736,,0.004776738771622267,0.0008430828449072317,0.5427713997395698,,,,,,,,,,,,
5,166,,160.69334317656148,,163.66041127571324,,145.22027052151077,,79.4502773652744,,0.18662655142232842,0.1707188240186759,0.1692231727790655,0.16777535583117054,0.15970683094364327,0.1583759220612817,0.17108549840385298,0.18516238409029462,0.11651273907351023,0.1763710673680441,0.15785497297321902,0.1917816817535495,0.1099936613080168,0.1840961033998,,0.24020440940160304,,0.23520189290434212,0.09948705918703948,0.2317415497876245,0.08071609352912451,0.242211757675675,,0.05355457340518344,0.05044636922826299,0.07362320132087878,,0.10447292967955721,,0.11516327787137295,,0.12318466101474385,0.08843146704567825,0.06586416592837034,0.1442527018401921,0.15806823433938588,0.17202147287565217,0.17650486863957254,0.17635346566925478,0.07926406981550024,0.4121794495277323,0.9314763541359485,0.23355264050485627,0.34273976080776763,0.016776143499446193,0.464960916973802,-0.10360311356050363,,-0.6460170843551915,,-0.2863097363754207,-0.4203144505995585,-0.08853428847592573,-0.050826084869049014,-0.5155025811665064,,-0.24234291689672027,-0.26301231552246046,-0.7927980035910177,,-0.7202223968415639,,-0.8766546324798805,,-1.9430558740529253,-0.41960066991549716,-9.481458317201726,,-4.916850337054638,,6.622928946531119,,6.301991933252328,,0.07388233850957064,0.07415820599487702,0.07234827271610772,0.07057996776608168,0.07125895377530107,0.06743336124755384,0.08461951606133565,0.0783063880781303,0.04968287490903108,0.05514882461294651,0.05242507043868239,-0.022577476752631585,-0.03641542863522741,0.008929474027386627,,0.028998174861447883,,0.017610670439868255,0.07867928818508343,0.01676887157125668,0.060818938753805146,0.02108892775846726,,0.03373494731341983,0.01699449278279553,0.0250219054861412,,-0.011921732035578917,,-0.01688714963658881,,0.0030500598422075263,-0.0001457709753003561,0.5352103748437916,,,,,,,,,,,,
6,200,,160.37097359377663,,163.4932383642534,,145.44545010569283,,79.66454509100498,,0.18354148329619194,0.1690459994934338,0.16830753510760926,0.16764469182608796,0.15794774660803812,0.15658652302413117,0.16486750954282997,0.18823001077978543,0.1275927182608809,0.17803646409914842,0.1612107006961837,0.18580169945707642,0.10765279155954559,0.18081658258364502,,0.22939916594810514,,0.22635441145048246,0.08455800581540607,0.2273333427210449,0.07293474410826792,0.23414830580238413,,0.0467029453263839,0.041694930472505845,0.056195160374171306,,0.08047207213559895,,0.08848430197786535,,0.09334644334635187,0.07806562102090643,-0.7008414234667272,-0.30810374875463215,-0.3047663391077748,-0.30177432005038396,-0.20924370532105108,-0.2032375681627568,-0.2502949399426248,-0.3419583862261604,0.4302368951259293,-0.562485838085371,-0.377727138323427,-0.5244666493416532,0.6579698530593906,-0.9027657035396506,,-1.6127701124561638,,-1.053627166696567,-0.19917929732137088,-0.8768184114935486,0.19206471545288212,-1.5321958432680063,,-0.2830800270321279,-0.23647878983050905,0.09350256988702776,,1.040392376866735,,0.944338906522442,,-1.1828335216284074,-0.2742041284676924,-8.073673716289635,,-5.608612256227471,,2.6608994325625424,,7.983024567580669,,0.061222658691719514,0.0629102212566832,0.062048271591937224,0.06134974380755269,0.05824960036446196,0.053309436459655996,0.0663424081762659,0.06609058775715283,0.040477839834040734,0.048113832368340374,0.04392742788260729,-0.012565499737000673,-0.0366628623697333,0.010596931545413961,,0.024249946630501014,,0.014272484211341415,0.06966529947018087,0.013372344744424636,0.04359994797477298,0.01626520473028675,,0.028385467370483523,0.005159999025255149,0.023222337201066243,,-0.008706716095056728,,-0.011964756768466745,,0.0004972057408788555,-0.0011904277479997183,0.5295271179250559,,,,,,,,,,,,
7,233,,160.10454236113907,,163.30815415979788,,145.5332597869674,,79.92798490173514,,0.17093834822095735,0.16133185382965365,0.16103522167218873,0.16082152010953835,0.15160199645107228,0.15032777359520522,0.15559183219570022,0.18169434242392035,0.13479007990990294,0.1692223280017536,0.15576920732523872,0.1732721758712545,0.10917643557769938,0.16572728403656178,,0.20220467096377936,,0.2051299384426343,0.07425788607778117,0.21020379208601758,0.06819625113252328,0.20911715934308028,,0.0394478027736756,0.0335904041895664,0.046296850717099006,,0.07000616343888716,,0.07586431221729922,,0.07373743368673132,0.06953300141286643,-1.1356209284818886,-0.6849625243866833,-0.686501567201736,-0.6886124633613947,-0.5641588151822203,-0.5548437146381392,-0.5768733823392179,-0.9528443619458434,-0.20983247094210167,-1.0685389603785984,-0.8722983101146388,-0.9210548985879113,0.22284135899080437,-1.2902111245109888,,-1.866523424765786,,-1.4556061599214674,-0.10198376473899576,-1.350235187604973,0.024772931556711324,-1.8489737607942487,,-0.2595328019322241,-0.2222256212233921,0.32930143728418,,0.43593652443559633,,0.445869398959227,,1.2270666034921787,-0.12402918062620111,-6.47430859309893,,-6.14183982987766,,0.5856553495089939,,5.176140172280976,,0.05009930762477624,0.05241012128923728,0.05181623624940302,0.0514665689361154,0.04802712696696655,0.042925463090236246,0.05321231730513616,0.052833997756333385,0.03299228144325527,0.040636109101979595,0.036388172217314475,-0.009324643153780182,-0.031189533012950764,0.00791843398774711,,0.019101176821969008,,0.010853611168138887,0.058161423755708305,0.009446254396512768,0.03058363093254007,0.011844931614442066,,0.02271909737678778,-0.0005770727432709246,0.020136481628900624,,-0.007204301615469685,,-0.008364032359392705,,-0.0028188601524261076,-0.0021579779327592884,0.5256956162468134,,,,,,,,,,,,
8,266,,159.8908901775668,,163.10547344541192,,145.5525864135012,,80.09879752742042,,0.15156858140621687,0.1486160790826525,0.1485135478178413,0.14848841373945165,0.1411696731192256,0.14007194208859214,0.14353746738767026,0.16688964887403362,0.13583524915001294,0.15240729219870724,0.1430855436319811,0.15610420059752061,0.11143397304399558,0.14296052909848594,,0.16617683716215365,,0.17605313058600527,0.06887655075293458,0.18420129020748094,0.06556338622764674,0.17438392239802622,,0.03276480672908415,0.026773008677031418,0.04328676414960069,,0.06992792556415586,,0.07441398835161349,,0.06684909021463388,0.06383171485698091,-0.810506363026659,-0.5085911060060228,-0.5115980835833073,-0.5150014628402255,-0.41128384474187696,-0.40337628384733965,-0.4092879726723789,-0.7726162396047899,-0.25604736035981573,-0.800937108763392,-0.6538336911895001,-0.6525983592800364,0.08501338983846318,-0.9347893526843167,,-1.2795801505995277,,-1.0887580410937192,0.11766778487401261,-1.033796666298758,-0.002306537883048272,-1.2799053221008576,,-0.13994812072083174,-0.1400569372696058,0.30012667737048015,,0.36810477545268305,,0.3872401453344086,,0.8250982036030341,0.08850691590638365,-5.064892211175434,,-6.410197461713764,,-0.008064156838660142,,1.270677318735255,,0.041299568590701836,0.04297387153388434,0.04225959809453179,0.04182661118667777,0.04005647993888838,0.03579155636154087,0.044136406254649374,0.04070610903968071,0.027174844703750478,0.03376134959217363,0.030269315682835515,-0.010585411866456836,-0.022353356312465926,0.003353715858483659,,0.014349435809422963,,0.007868568111112818,0.04882825637814496,0.005869024463925832,0.023452098638253396,0.008346255776679827,,0.01765938789094479,-0.0013398129692969848,0.0164374707923886,,-0.007331901669989616,,-0.005866555802506755,,-0.006093885125460986,-0.0029081818354396746,0.5234544535980932,,,,,,,,,,,,
9,300,,159.71868384238684,,162.88752673171365,,145.55231223216867,,80.14200055625741,,0.12926087389258523,0.13260476557855375,0.13254713527390977,0.13255466748509273,0.1277686631856999,0.12689772094625196,0.12937361117576107,0.1467896247935095,0.1305015135304114,0.13148350690235794,0.12620647515439132,0.13672794795700643,0.11122152615464172,0.11747345754733429,,0.12889739362233546,,0.14414082130304656,0.0670913068299837,0.1539726290695775,0.06348524213343695,0.13751293375411136,,0.027205848798613406,0.021400273996427015,0.043983428844002775,,0.073783284322299,,0.07755927669625468,,0.06865314420577057,0.06044383854303392,-0.7753378647531639,-0.6667425953043135,-0.6701552850346181,-0.6740478225496883,-0.5784878093088156,-0.5691328399848531,-0.5733849679293028,-0.8684156086481141,-0.5257300667717576,-0.8007121413388056,-0.6909734451711609,-0.6884499691947712,-0.2704467352200809,-0.8439061834336751,,-1.0748213168172451,,-1.1010955246408658,0.1671315138176787,-1.1174778085210406,-0.13458124591952694,-1.103281348507306,,-0.11473930978586001,-0.1194696771491791,0.14917489133209527,,0.236922635654601,,0.2529372367187967,,0.3563076962979386,0.052590337282024995,-4.216435174714833,,-6.789081002823009,,0.06718219329761929,,-0.9499030356715475,,0.037620831987705154,0.03808710518814417,0.0370731431986569,0.036355138370123136,0.03673392858953278,0.03355548144899171,0.04095562039366818,0.033778971302840646,0.02493211383216531,0.03060076728865196,0.02791957154685949,-0.013962693864691652,-0.014082871424909781,-0.0011330333100028672,,0.011346390000538218,,0.005964335160639699,0.05052131522912765,0.003365540682028733,0.022854608559027847,0.006284963632493164,,0.014815583100700393,0.00017575728440310067,0.014041879112937318,,-0.008634954014980439,,-0.004466163148584817,,-0.009357951286466507,-0.003682441469778044,0.522415773380387,,,,,,,,,,,,
